0.011387,0.018485,0.000017,0.000000
0.011384,0.018457,0.000024,0.795000
0.011373,0.018373,0.000045,1.590000
0.011355,0.018228,0.000078,2.385000
0.011331,0.018023,0.000123,3.180000
0.011301,0.017758,0.000177,3.975000
0.011266,0.017435,0.000240,4.770000
0.011225,0.017055,0.000309,5.565000
0.011180,0.016622,0.000382,6.360000
0.011132,0.016140,0.000458,7.155000
0.011080,0.015615,0.000535,7.950000
0.011026,0.015052,0.000612,8.745000
0.010970,0.014455,0.000689,9.540000
0.010912,0.013832,0.000763,10.335000
0.010853,0.013188,0.000834,11.130000
0.010793,0.012530,0.000901,11.925000
0.010731,0.011864,0.000964,12.720000
0.010667,0.011195,0.001021,13.515000
0.010603,0.010531,0.001072,14.310000
0.010536,0.009877,0.001117,15.105000
0.010468,0.009238,0.001156,15.900000
0.010397,0.008618,0.001187,16.695000
0.010324,0.008023,0.001211,17.490000
0.010249,0.007455,0.001227,18.285000
0.010172,0.006917,0.001235,19.080000
0.010092,0.006413,0.001237,19.875000
0.010010,0.005942,0.001231,20.670000
0.009927,0.005506,0.001219,21.465000
0.009842,0.005105,0.001202,22.260000
0.009757,0.004738,0.001180,23.055000
0.009671,0.004403,0.001153,23.850000
0.009587,0.004100,0.001124,24.645000
0.009504,0.003825,0.001093,25.440000
0.009423,0.003577,0.001061,26.235000
0.009344,0.003355,0.001028,27.030000
0.009269,0.003155,0.000997,27.825000
0.009198,0.002976,0.000967,28.620000
0.009130,0.002818,0.000938,29.415000
0.009067,0.002680,0.000912,30.210000
0.009008,0.002562,0.000889,31.005000
0.008952,0.002465,0.000868,31.800000
0.008901,0.002392,0.000850,32.595000
0.008852,0.002344,0.000834,33.390000
0.008806,0.002323,0.000820,34.185000
0.008761,0.002335,0.000807,34.980000
0.008718,0.002382,0.000796,35.775000
0.008677,0.002468,0.000786,36.570000
0.008636,0.002598,0.000777,37.365000
0.008597,0.002775,0.000767,38.160000
0.008557,0.003002,0.000758,38.955000
0.008518,0.003284,0.000750,39.750000
0.008480,0.003622,0.000742,40.545000
0.008442,0.004018,0.000737,41.340000
0.008405,0.004473,0.000733,42.135000
0.008369,0.004986,0.000733,42.930000
0.008333,0.005557,0.000736,43.725000
0.008297,0.006182,0.000745,44.520000
0.008261,0.006858,0.000759,45.315000
